iter	Passed	Remaining
730	1702	626
731	1704	624
732	1706	621
733	1708	619
734	1711	617
735	1715	615
736	1717	612
737	1720	610
738	1722	608
739	1724	605
740	1726	603
741	1729	601
742	1732	599
743	1734	596
744	1737	594
745	1739	592
746	1741	589
747	1744	587
748	1747	585
749	1749	583
750	1751	580
751	1753	578
752	1755	575
753	1757	573
754	1761	571
755	1763	569
756	1766	566
757	1768	564
758	1770	562
759	1772	559
760	1774	557
761	1777	555
762	1779	552
763	1782	550
764	1784	548
765	1786	545
766	1788	543
767	1790	540
768	1794	538
769	1796	536
770	1798	534
771	1800	531
772	1802	529
773	1804	526
774	1807	524
775	1810	522
776	1812	520
777	1815	517
778	1817	515
779	1819	513
780	1821	510
781	1824	508
782	1827	506
783	1829	504
784	1831	501
785	1834	499
786	1836	496
787	1839	494
788	1842	492
789	1844	490
790	1846	488
791	1848	485
792	1850	483
793	1853	480
794	1856	478
795	1859	476
796	1862	474
797	1864	471
798	1866	469
799	1868	467
800	1872	465
801	1874	462
802	1877	460
803	1879	458
804	1881	455
805	1883	453
806	1885	450
807	1889	448
808	1891	446
809	1893	444
810	1895	441
811	1897	439
812	1899	436
813	1902	434
814	1905	432
815	1907	430
816	1910	427
817	1912	425
818	1914	423
819	1917	420
820	1920	418
821	1922	416
822	1924	413
823	1926	411
824	1928	409
825	1931	406
826	1934	404
827	1936	402
828	1939	400
829	1941	397
830	1943	395
831	1945	392
832	1948	390
833	1951	388
834	1954	386
835	1956	383
836	1958	381
837	1961	379
838	1964	376
839	1967	374
840	1969	372
841	1972	370
842	1974	367
843	1976	365
844	1978	362
845	1981	360
846	1984	358
847	1986	356
848	1989	353
849	1991	351
850	1993	348
851	1996	346
852	1999	344
853	2001	342
854	2004	339
855	2006	337
856	2008	335
857	2010	332
858	2013	330
859	2016	328
860	2018	325
861	2021	323
862	2023	321
863	2025	318
864	2028	316
865	2031	314
866	2033	311
867	2035	309
868	2038	307
869	2040	304
870	2043	302
871	2046	300
872	2048	298
873	2050	295
874	2053	293
875	2055	290
876	2057	288
877	2060	286
878	2063	284
879	2065	281
880	2068	279
881	2070	276
882	2072	274
883	2075	272
884	2078	270
885	2080	267
886	2083	265
887	2085	263
888	2087	260
889	2090	258
890	2093	256
891	2095	253
892	2098	251
893	2100	249
894	2102	246
895	2104	244
896	2107	242
897	2110	239
898	2112	237
899	2115	235
900	2117	232
901	2119	230
902	2122	227
903	2125	225
904	2127	223
905	2129	220
906	2132	218
907	2134	216
908	2137	214
909	2140	211
910	2143	209
911	2145	207
912	2147	204
913	2149	202
914	2152	199
915	2155	197
916	2157	195
917	2160	192
918	2162	190
919	2164	188
920	2166	185
921	2169	183
922	2173	181
923	2175	178
924	2178	176
925	2180	174
926	2182	171
927	2186	169
928	2189	167
929	2191	164
930	2194	162
931	2195	160
932	2198	157
933	2202	155
934	2205	153
935	2207	150
936	2209	148
937	2211	146
938	2213	143
939	2216	141
940	2219	139
941	2221	136
942	2224	134
943	2225	132
944	2228	129
945	2230	127
946	2234	125
947	2236	122
948	2239	120
949	2241	117
950	2244	115
951	2246	113
952	2249	110
953	2252	108
954	2254	106
955	2256	103
956	2258	101
957	2260	99
958	2263	96
959	2266	94
960	2268	92
961	2271	89
962	2273	87
963	2275	84
964	2278	82
965	2280	80
966	2283	77
967	2286	75
968	2288	73
969	2290	70
970	2292	68
971	2295	66
972	2298	63
973	2300	61
974	2303	59
975	2305	56
976	2307	54
977	2309	51
978	2313	49
979	2315	47
980	2318	44
981	2320	42
982	2322	40
983	2324	37
984	2327	35
985	2330	33
